user_id,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
95,NA,NA,recent,4.1,2.9,2.8,3.3,3.5,3.6,4.571428571428571,5.428571428571429,2.5,1.4285714285714286,6.5,1.5,1,1,1,1.8333594695900568,-1.223193518954084,-1.7372438204103928,0.2029580866356793,0.46079010924228686
96,NA,NA,not recent,2.9,3.5,3.5,3.2,3.8,3.1,5.857142857142857,5.571428571428571,5.375,3.4285714285714284,3.75,4.9,3.5,5.4,5.3,0.1832239974697167,1.3707622783508377,-0.17213925481575718,1.3088351309849082,0.6113898034824484
97,NA,NA,not recent,2.8,3,3.6,2.2,2.9,2.7,4.571428571428571,4.857142857142857,5.375,4.428571428571429,4,1.7,1,2.1,1.2,0.33323631311702034,1.3707622783508377,0.610413027981561,0.2029580866356793,-0.14160866771836197
98,NA,NA,not recent,3.6,3.7,3.6,3.3,3,2.7,5.857142857142857,6.714285714285714,3.5,5.142857142857143,1.5,4.6,1,4.7,1.5,-1.1668868433560162,-0.3209480242393285,1.1693789442653597,1.3088351309849082,1.816187357403745
99,NA,NA,not recent,3.9,3.9,3.9,2.9,1.8,3.4,3.7142857142857144,6.142857142857143,3.75,2.2857142857142856,1.5,2.2,1,2.1,1.4,-1.1668868433560162,-0.09538665056063965,-1.0664847208698347,-0.5342932762638064,1.2137885804430972
100,NA,NA,recent,4,4.6,3.5,2.9,3.4,3.4,4.714285714285714,5.571428571428571,4.75,4.285714285714286,6.5,2.3,1,2.5,1.1,1.8333594695900568,0.8068588441541157,0.4986198447248011,0.32583331378559394,0.6113898034824484
101,NA,NA,not recent,3.5,3.3,3.4,3.6,3.2,3.4,2.5714285714285716,5.142857142857143,3.625,3.4285714285714284,2.25,1.8,1,2.1,1.3,-0.7168498964141051,-0.20816733739998408,-0.17213925481575718,-1.517295093463121,0.15959072076196293
102,NA,NA,not recent,3.8,4.7,3.1,4.3,4.1,4.2,3.4285714285714284,4.571428571428571,5.5,2.5714285714285716,2.25,1,1,1,1,-0.7168498964141051,1.4835429651901821,-0.8428983543563151,-0.7800437305636353,-0.4428080561986859
103,NA,NA,recent,3.2,3.5,1.6,3,3.9,4,1.1428571428571428,2.142857142857143,3.125,2.2857142857142856,2.25,1.5,1,1.3,1.2,-0.7168498964141051,-0.6592900847573617,-1.0664847208698347,-2.7460473649622648,-3.0030028582814405
104,NA,NA,not recent,3.3,2.8,2.8,3.2,3.2,3.9,2.5714285714285716,3.7142857142857144,1.5,1.4285714285714286,2,1,1,1,1,-0.8668622120614088,-2.125439013668839,-1.7372438204103928,-1.517295093463121,-1.3464062216396577
105,NA,NA,not recent,4.1,4.5,3.1,3.9,3.1,3.1,1.8571428571428572,3.4285714285714284,2.25,2.857142857142857,1,1.5,1,1.7,1,-1.4669114746506233,-1.4487548926327727,-0.6193119878427958,-2.1316712292126927,-1.647605610119982
106,NA,NA,recent,2.5,3.9,3.6,3.1,3.3,3,4,6.142857142857143,5.375,4.857142857142857,7,3.3,1,2.8,1,2.133384100884664,1.3707622783508377,0.9457925777518398,-0.28854282196397785,1.2137885804430972
107,NA,NA,recent,2.6,4.3,3.6,3.3,2.5,3.6,5.714285714285714,4.857142857142857,4.625,4.714285714285714,5.25,2.3,1,2.3,1,1.0832978913535385,0.6940781573147713,0.8339993944950804,1.1859599038349944,-0.14160866771836197
108,NA,NA,not recent,2.4,4.7,3.9,3.3,3.3,3.7,5.857142857142857,5.714285714285714,7,1.2857142857142858,3.75,1,1,1.1,1,0.1832239974697167,2.8369112072623155,-1.8490370036671528,1.3088351309849082,0.7619894977226108
109,NA,NA,not recent,3.8,3.3,2.9,3.4,4.3,2.8,3.4285714285714284,3.857142857142857,3,3.857142857142857,1.5,2.1,1.6,2.2,1.5,-1.1668868433560162,-0.7720707715967062,0.16324029495452214,-0.7800437305636353,-1.1958065273994958
110,NA,NA,not recent,3.5,4.5,3.1,3.3,4.3,4.9,4.142857142857143,5.714285714285714,3.5,1,1,1.6,1,1.6,1,-1.4669114746506233,-0.3209480242393285,-2.072623370180672,-0.16566759481406318,0.7619894977226108
111,NA,NA,recent,3.5,4,4,2.1,3.1,4.1,3.7142857142857144,5.571428571428571,3.25,3.2857142857142856,3.75,4.5,1,4.4,1.3,0.1832239974697167,-0.5465093979180173,-0.28393243807251684,-0.5342932762638064,0.6113898034824484
112,NA,NA,recent,2.8,4.4,5,3.2,3.9,3.2,4.428571428571429,5.714285714285714,5,2.857142857142857,4,1.9,1.2,1.9,1,0.33323631311702034,1.0324202178328046,-0.6193119878427958,0.08008285948576539,0.7619894977226108
