user_id,face_type,rt,sex,age,recent_cold,img,pd,PVDga,PVDpi,recency,recency.z,PVDga.z,PVDpi.z
71,disfigured,696.5,NA,NA,not recent,2,4,3.625,3.142857142857143,3.25,-0.11694781051945527,-0.6126621157049597,-0.5163007766828929
71,normal,657.0833333333334,NA,NA,not recent,2,4,3.625,3.142857142857143,3.25,-0.11694781051945527,-0.6126621157049597,-0.5163007766828929
72,disfigured,578.8695652173913,NA,NA,not recent,4,5.571428571428571,3.75,3.4285714285714284,2,-0.8660863411632498,-0.4132485536938487,0.06937563477351442
72,normal,578.875,NA,NA,not recent,4,5.571428571428571,3.75,3.4285714285714284,2,-0.8660863411632498,-0.4132485536938487,0.06937563477351442
73,disfigured,457.1666666666667,NA,NA,not recent,4.142857142857143,5.714285714285714,4.125,3.142857142857143,1,-1.4653971656782854,0.18499213233948397,-0.5163007766828929
73,normal,435.2916666666667,NA,NA,not recent,4.142857142857143,5.714285714285714,4.125,3.142857142857143,1,-1.4653971656782854,0.18499213233948397,-0.5163007766828929
74,disfigured,1054.3809523809523,NA,NA,recent,5.428571428571429,6.142857142857143,4.5,3.7142857142857144,1.75,-1.0159140472920087,0.7832328183728167,0.6550520462299226
74,normal,815.0909090909091,NA,NA,recent,5.428571428571429,6.142857142857143,4.5,3.7142857142857144,1.75,-1.0159140472920087,0.7832328183728167,0.6550520462299226
75,disfigured,565.0416666666666,NA,NA,recent,4.142857142857143,5.714285714285714,3.625,2.857142857142857,5,0.9318461323818571,-0.6126621157049597,-1.1019771881393001
75,normal,591.4782608695652,NA,NA,recent,4.142857142857143,5.714285714285714,3.625,2.857142857142857,5,0.9318461323818571,-0.6126621157049597,-1.1019771881393001
76,disfigured,532.0416666666666,NA,NA,not recent,5.428571428571429,5.142857142857143,4.375,3.857142857142857,1,-1.4653971656782854,0.5838192563617058,0.9478902519581264
76,normal,544.2083333333334,NA,NA,not recent,5.428571428571429,5.142857142857143,4.375,3.857142857142857,1,-1.4653971656782854,0.5838192563617058,0.9478902519581264
78,disfigured,690.8333333333334,NA,NA,recent,3.857142857142857,5.142857142857143,4.625,3.142857142857143,5.75,1.3813292507681338,0.9826463803839276,-0.5163007766828929
78,normal,659.2083333333334,NA,NA,recent,3.857142857142857,5.142857142857143,4.625,3.142857142857143,5.75,1.3813292507681338,0.9826463803839276,-0.5163007766828929
79,disfigured,724.125,NA,NA,recent,4,5.571428571428571,4.5,3.7142857142857144,6.25,1.6809846630256517,0.7832328183728167,0.6550520462299226
79,normal,707.1666666666666,NA,NA,recent,4,5.571428571428571,4.5,3.7142857142857144,6.25,1.6809846630256517,0.7832328183728167,0.6550520462299226
80,disfigured,590.2857142857143,NA,NA,recent,3.5714285714285716,4,4.25,3.7142857142857144,4,0.33253530786682145,0.3844056943505949,0.6550520462299226
80,normal,525.5217391304348,NA,NA,recent,3.5714285714285716,4,4.25,3.7142857142857144,4,0.33253530786682145,0.3844056943505949,0.6550520462299226
81,disfigured,683.6818181818181,NA,NA,not recent,4.428571428571429,5.571428571428571,5,3.7142857142857144,1.25,-1.3155694595495266,1.5808870664172603,0.6550520462299226
81,normal,715.6363636363636,NA,NA,not recent,4.428571428571429,5.571428571428571,5,3.7142857142857144,1.25,-1.3155694595495266,1.5808870664172603,0.6550520462299226
82,disfigured,462.375,NA,NA,not recent,2.857142857142857,4.571428571428571,4,3.7142857142857144,2.25,-0.7162586350344909,-0.014421429671626927,0.6550520462299226
82,normal,456.9583333333333,NA,NA,not recent,2.857142857142857,4.571428571428571,4,3.7142857142857144,2.25,-0.7162586350344909,-0.014421429671626927,0.6550520462299226
83,disfigured,706.9545454545455,NA,NA,not recent,3.857142857142857,5,4.25,3.857142857142857,1.25,-1.3155694595495266,0.3844056943505949,0.9478902519581264
