subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5
411	practice	practice_topright_same	11	490	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	circle.bmp
411	practice	practice_bottomleft_same	12	479	23	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	square.bmp
411	real_a	real_topright_diff_a	1	522	23	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomright_same_a	2	519	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topright_diff_a	3	517	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomright_same_a	4	418	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topleft_same_a	5	547	23	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topright_same_a	6	623	23	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomright_diff_a	7	529	18	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topright_diff_a	8	622	18	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topleft_diff_a	9	943	18	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomleft_same_a	10	692	23	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomleft_diff_a	11	1219	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomleft_diff_a	12	484	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topright_same_a	13	595	18	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomright_diff_a	14	470	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomright_diff_a	15	470	23	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	square.bmp
411	real_a	real_bottomleft_same_a	16	541	23	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topleft_same_a	17	449	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_topleft_diff_a	18	505	23	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	square.bmp
411	real_a	real_topleft_diff_a	19	463	18	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	circle.bmp
411	real_a	real_bottomleft_diff_a	20	535	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp
411	real_b	real_topleft_same_b	1	428	23	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	square.bmp
411	real_b	real_bottomright_same_b	2	661	18	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_topright_diff_b	3	453	18	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_topright_same_b	4	581	23	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	square.bmp
411	real_b	real_topright_same_b	5	680	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomright_diff_b	6	535	18	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_topleft_same_b	7	579	23	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	square.bmp
411	real_b	real_topright_diff_b	8	623	23	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	square.bmp
411	real_b	real_topleft_diff_b	9	960	23	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	square.bmp
411	real_b	real_bottomleft_diff_b	10	284	18	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomright_diff_b	11	747	23	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_topright_diff_b	12	543	18	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_topleft_diff_b	13	427	18	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomright_same_b	14	501	18	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomleft_diff_b	15	675	23	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	square.bmp
411	real_b	real_topleft_diff_b	16	490	18	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomleft_same_b	17	672	23	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	square.bmp
411	real_b	real_bottomleft_diff_b	18	631	18	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomright_diff_b	19	552	18	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp
411	real_b	real_bottomleft_same_b	20	676	23	mask.bmp	blankscreen.bmp	wmd10.bmp	blankscreen.bmp	square.bmp
411	real_c	real_topleft_diff_c	1	585	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_topleft_same_c	2	492	23	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	square.bmp
411	real_c	real_topright_diff_c	3	523	18	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomleft_same_c	4	464	18	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomright_diff_c	5	544	18	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomleft_diff_c	6	460	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_topright_diff_c	7	404	18	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomleft_diff_c	8	494	18	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomright_same_c	9	581	23	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	square.bmp
411	real_c	real_bottomright_same_c	10	504	18	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_topright_same_c	11	518	18	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_topright_diff_c	12	396	23	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	square.bmp
411	real_c	real_topleft_same_c	13	438	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp
411	real_c	real_bottomleft_diff_c	14	559	23	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	square.bmp
411	real_c	real_topleft_diff_c	15	475	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	square.bmp
411	real_c	real_topleft_diff_c	16	714	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_bottomright_diff_c	17	504	23	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	square.bmp
411	real_c	real_bottomleft_same_c	18	390	18	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	circle.bmp
411	real_c	real_topright_same_c	19	536	23	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp
411	real_c	real_bottomright_diff_c	20	581	18	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topleft_diff_d	1	368	18	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_bottomright_diff_d	2	355	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topleft_same_d	3	303	18	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_bottomleft_same_d	4	349	18	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomleft_diff_d	5	506	18	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topleft_diff_d	6	528	23	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomright_same_d	7	533	23	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomleft_diff_d	8	442	23	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	square.bmp
411	real_d	real_topright_same_d	9	498	23	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomleft_same_d	10	344	23	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomright_same_d	11	436	18	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topright_diff_d	12	589	23	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomright_diff_d	13	536	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topright_same_d	14	812	18	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_bottomright_diff_d	15	598	23	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	square.bmp
411	real_d	real_bottomleft_diff_d	16	528	23	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	square.bmp
411	real_d	real_topright_diff_d	17	710	18	mask.bmp	blankscreen.bmp	wmd10.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topright_diff_d	18	467	18	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topleft_same_d	19	594	18	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	circle.bmp
411	real_d	real_topleft_diff_d	20	517	23	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	square.bmp
412	practice	practice_topleft_same	1	1556	23	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	square.bmp
412	practice	practice_bottomleft_same	2	95	23	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_bottomright_diff	3	580	23	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	square.bmp
412	practice	practice_bottomleft_same	4	582	18	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_topright_same	5	728	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_topleft_diff	6	796	23	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	circle.bmp
