user_id,blockcode,position,trial_type,block,trialnum,rt,response,site,stim_id,face_sex,face_type,target,correct,mean_rt,sd_rt,n_correct
403,real_a,bottomleft,diff,a,10,346,18,VU,wfd3,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,bottomright,diff,a,11,471,23,VU,wmn3,m,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_a,bottomright,diff,a,12,350,18,VU,wfn2,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,bottomleft,diff,a,13,419,18,VU,wfn1,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,topleft,diff,a,14,356,23,VU,wmd2,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_a,topright,diff,a,20,422,18,VU,wmd3,m,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topleft,diff,b,1,518,18,VU,wmn6,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topleft,diff,b,3,447,18,VU,wmd8,m,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topright,diff,b,4,455,18,VU,wmn7,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomleft,diff,b,5,615,18,VU,wmn8,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topright,diff,b,6,441,18,VU,wfn6,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topright,diff,b,7,337,23,VU,wfd8,f,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomright,diff,b,10,376,23,VU,wmd7,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomleft,diff,b,12,435,23,VU,wmd6,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomleft,diff,b,13,531,18,VU,wfn7,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomright,diff,b,16,536,18,VU,wfn8,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,topleft,diff,b,19,584,18,VU,wfd7,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_b,bottomright,diff,b,20,331,23,VU,wfd6,f,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomright,diff,c,1,408,23,VU,wmd3,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_c,topleft,diff,c,2,345,18,VU,wfn4,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomright,diff,c,4,448,18,VU,wmn4,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomleft,diff,c,8,383,18,VU,wfd4,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_c,topright,diff,c,9,785.3271395850227,18,VU,wmn3,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomleft,diff,c,10,738,23,VU,wmd5,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_c,topright,diff,c,11,591,23,VU,wmd4,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_c,topleft,diff,c,12,490,23,VU,wmn5,m,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_c,topright,diff,c,13,456,23,VU,wfn5,f,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_c,topleft,diff,c,16,367,18,VU,wfd3,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomright,diff,c,17,410,23,VU,wfd5,f,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_c,bottomleft,diff,c,20,475,18,VU,wfn3,f,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,topright,diff,d,3,358,23,VU,wfn8,f,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_d,topleft,diff,d,4,554,18,VU,wmn8,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomright,diff,d,5,478,18,VU,wfd8,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,topleft,diff,d,8,532,18,VU,wmd9,m,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,topright,diff,d,9,513,18,VU,wfd9,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomleft,diff,d,11,327,23,VU,wmd8,m,disfigured,square,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomright,diff,d,13,321,23,VU,wmn10,m,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomleft,diff,d,14,350,18,VU,wfd10,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomright,diff,d,15,370,23,VU,wfn9,f,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_d,bottomleft,diff,d,17,463,18,VU,wmn9,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,topright,diff,d,19,539,18,VU,wmd10,m,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_d,topleft,diff,d,20,383,23,VU,wfn10,f,typical,square,1,452.4166666666667,110.97015763945198,48
404,real_a,bottomright,diff,a,1,719,18,VU,wmn3,m,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topright,diff,a,2,429,23,VU,wmn1,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_a,bottomleft,diff,a,3,589,18,VU,wfd3,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topright,diff,a,4,720,18,VU,wfd2,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topright,diff,a,5,557,23,VU,wmd3,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_a,bottomright,diff,a,6,449,23,VU,wmd1,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_a,bottomright,diff,a,7,578,18,VU,wfn2,f,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topleft,diff,a,8,541,23,VU,wfn3,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_a,bottomleft,diff,a,13,511,18,VU,wmn2,m,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,bottomleft,diff,a,14,629,18,VU,wfn1,f,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topleft,diff,a,19,589,18,VU,wmd2,m,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_a,topleft,diff,a,20,512,18,VU,wfd1,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomleft,diff,b,3,557,23,VU,wmn8,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomleft,diff,b,4,609,23,VU,wmd6,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_b,topright,diff,b,6,753,23,VU,wfd8,f,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomright,diff,b,8,453,23,VU,wfn8,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomleft,diff,b,9,581,23,VU,wfn7,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,topright,diff,b,11,551,23,VU,wmn7,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,topleft,diff,b,12,523,23,VU,wmd8,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_b,topleft,diff,b,15,487,23,VU,wmn6,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomright,diff,b,16,606,23,VU,wmd7,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_b,bottomright,diff,b,17,616,18,VU,wfd6,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_b,topright,diff,b,18,473,23,VU,wfn6,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_b,topleft,diff,b,19,433,18,VU,wfd7,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomright,diff,c,1,559,18,VU,wmd3,m,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,topleft,diff,c,3,504,23,VU,wfn4,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomright,diff,c,5,525,18,VU,wfd5,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomleft,diff,c,7,512,18,VU,wfn3,f,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,topright,diff,c,8,534,23,VU,wmn3,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_c,topleft,diff,c,11,498,18,VU,wmn5,m,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomleft,diff,c,12,520,23,VU,wmd5,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomleft,diff,c,14,438,18,VU,wfd4,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,topright,diff,c,15,527,18,VU,wfn5,f,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,topright,diff,c,16,460,23,VU,wmd4,m,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_c,topleft,diff,c,17,764,18,VU,wfd3,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_c,bottomright,diff,c,19,353,23,VU,wmn4,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_d,bottomright,diff,d,1,529,23,VU,wfn9,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_d,bottomleft,diff,d,2,446,18,VU,wmn9,m,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_d,bottomright,diff,d,6,476,23,VU,wfd8,f,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_d,topright,diff,d,7,540,18,VU,wfn8,f,typical,circle,1,550.0212765957447,92.50816400205188,47
404,real_d,topright,diff,d,10,519,18,VU,wmd10,m,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_d,topleft,diff,d,11,676,23,VU,wmn8,m,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_d,topleft,diff,d,12,491,23,VU,wfn10,f,typical,square,1,550.0212765957447,92.50816400205188,47
404,real_d,topright,diff,d,16,621,23,VU,wfd9,f,disfigured,square,1,550.0212765957447,92.50816400205188,47
404,real_d,bottomleft,diff,d,17,774,18,VU,wmd8,m,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_d,bottomleft,diff,d,18,609,18,VU,wfd10,f,disfigured,circle,1,550.0212765957447,92.50816400205188,47
404,real_d,topleft,diff,d,20,511,18,VU,wmd9,m,disfigured,circle,1,550.0212765957447,92.50816400205188,47
406,real_a,topright,diff,a,1,676,18,VU,wmn1,m,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomleft,diff,a,2,740,18,VU,wmn2,m,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_a,topleft,diff,a,6,650,18,VU,wfn3,f,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomright,diff,a,7,714,18,VU,wmd1,m,disfigured,circle,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomright,diff,a,8,512,23,VU,wfn2,f,typical,square,1,598.9583333333334,121.18931178441497,48
406,real_a,topright,diff,a,9,566,23,VU,wfd2,f,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomleft,diff,a,10,539,23,VU,wfn1,f,typical,square,1,598.9583333333334,121.18931178441497,48
406,real_a,topleft,diff,a,14,645,18,VU,wmd2,m,disfigured,circle,1,598.9583333333334,121.18931178441497,48
